CONTRACT_PK,USER_CODE,GIS_CD,CT_PY_AMT,CT_PY_PD,CT_CHNL_CD,INSU_DAY,INSU_YEAR,MGG_GRP
578,877880,35,28,10,1,3653,11,A95
579,37765,11,25,10,6,3652,10,A95
580,1195774,34,27,10,6,3652,10,A95
581,864582,24,60,10,1,22280,62,A95
582,138751,34,26,5,6,1826,5,A95
583,1769360,31,58,10,2,13514,38,A95
584,1262346,38,40,20,1,20820,58,A95
585,76787,38,17,5,4,1827,6,A95
586,76787,38,16,5,4,1826,5,A95
587,882257,38,40,10,6,3652,10,A95
588,1007810,23,44,10,6,3652,10,A95
589,1512936,22,49,20,2,14245,40,A95
590,1188302,11,50,10,6,3653,11,A95
591,1170088,11,18,10,6,3652,10,A95
592,1170088,31,53,20,3,17897,50,A95
593,1003609,11,54,15,1,5478,15,A95
594,1397721,37,58,10,6,3653,11,A95
595,1220920,11,25,10,1,3653,11,A95
596,1762625,21,10,5,5,3653,11,A95
597,1762625,21,7,5,5,1826,5,A95
598,1515711,38,14,5,4,1827,6,A95
599,1515711,38,14,5,4,1826,5,A95
600,1804950,22,39,10,6,3652,10,A95
601,297346,38,47,5,6,1827,6,A95
602,144791,21,31,10,3,3652,10,A95
603,1809556,31,78,10,1,9862,28,A95
604,804142,37,28,10,6,3652,10,A95
605,1430106,31,21,10,6,3652,10,A95
606,604043,31,27,10,6,3652,10,A95
607,659969,31,22,20,6,7305,21,A95
608,281299,31,11,5,1,3652,10,A95
609,281299,31,7,5,1,1826,5,A95
610,143275,36,33,35,1,12783,35,A95
611,1622251,11,25,10,1,3652,10,A95
612,674791,23,74,10,1,3653,11,A95
613,533462,36,63,10,1,3653,11,A95
614,1245909,21,8,10,6,3653,11,A95
615,1563776,32,25,5,1,1827,6,A95
616,1563776,32,25,5,1,1827,6,A95
617,1048237,23,61,5,3,1827,6,A95
618,1048237,23,44,5,3,1826,5,A95
619,1250688,26,32,5,3,1826,5,A95
620,1443985,22,38,30,1,10927,30,A95
621,1230630,33,45,20,6,7305,21,A95
622,71192,21,42,10,6,3652,10,A95
623,1356685,31,17,5,6,1826,5,A95
624,1069010,38,44,10,1,3653,11,A95
625,329303,37,38,10,6,3653,11,A95
626,762164,31,61,20,1,8400,23,A95
627,1735044,38,51,10,3,3653,11,A95
628,1446038,36,25,5,1,1826,5,A95
629,612585,23,36,10,3,3652,10,A95
630,237297,32,11,10,6,3652,10,A95
631,733517,11,22,10,6,3652,10,A95
